iter	RMSE
0	21.78927228
1	20.11968953
2	18.57354125
3	17.20879021
4	15.96223953
5	14.90600569
6	13.98965015
7	13.12819262
8	12.36192541
9	11.69254136
10	11.08700605
11	10.59992515
12	10.10293028
13	9.711764493
14	9.331505576
15	9.052736726
16	8.809949853
17	8.570910028
18	8.382389445
19	8.184219336
20	8.018286586
21	7.847747866
22	7.718440213
23	7.608944279
24	7.502828134
25	7.405388713
26	7.329596513
27	7.252400703
28	7.152178996
29	7.081139434
30	7.026438743
31	6.975347991
32	6.896588581
33	6.838124334
34	6.791031633
35	6.758528
36	6.73184084
37	6.69486842
38	6.671197447
39	6.633564963
40	6.60232888
41	6.559400104
42	6.52049309
43	6.482919967
44	6.446022709
45	6.40978521
46	6.378240684
47	6.353492856
48	6.317831796
49	6.296161917
50	6.274526406
51	6.261286872
52	6.238126508
53	6.217184541
54	6.202883617
55	6.18324498
56	6.166794065
57	6.156719513
58	6.131427126
59	6.1079878
60	6.092639559
61	6.077215349
62	6.060149108
63	6.013907594
64	5.987366588
65	5.975559426
66	5.964425917
67	5.950218518
68	5.934763718
69	5.917919418
70	5.905712495
71	5.892300466
72	5.882908608
73	5.852287736
74	5.833843326
75	5.816507878
76	5.794079726
77	5.773955542
78	5.766906664
79	5.747626864
80	5.737465633
81	5.732103715
82	5.722388077
83	5.708747844
84	5.702508582
85	5.692624223
86	5.676667769
87	5.664330479
88	5.655855457
89	5.640216974
90	5.630826945
91	5.621540379
92	5.617614495
93	5.607365168
94	5.596138286
95	5.588743063
96	5.576198705
97	5.564804361
98	5.557905948
99	5.546647299
