iter	Passed	Remaining
0	160	15872
1	168	8275
2	179	5791
3	187	4504
4	196	3724
5	204	3208
6	213	2837
7	221	2541
8	230	2335
9	239	2157
10	247	2004
11	256	1883
12	264	1773
13	272	1674
14	280	1587
15	287	1511
16	296	1445
17	304	1385
18	312	1330
19	320	1282
20	328	1237
21	337	1195
22	345	1157
23	354	1121
24	362	1088
25	371	1057
26	379	1026
27	388	998
28	396	971
29	405	946
30	414	922
31	424	902
32	434	881
33	443	860
34	451	837
35	459	816
36	467	795
37	475	775
38	484	758
39	492	739
40	500	720
41	509	704
42	518	686
43	526	670
44	535	654
45	543	638
46	551	622
47	559	606
48	567	591
49	576	576
50	584	561
51	592	547
52	600	532
53	608	518
54	616	504
55	623	490
56	631	476
57	639	463
58	646	449
59	654	436
60	661	423
61	669	410
62	677	398
63	685	385
64	693	373
65	701	361
66	708	348
67	716	337
68	723	325
69	731	313
70	739	302
71	747	290
72	754	279
73	763	268
74	771	257
75	779	246
76	787	235
77	794	224
78	802	213
79	810	202
80	817	191
81	825	181
82	833	170
83	842	160
84	849	149
85	857	139
86	865	129
87	873	119
88	880	108
89	888	98
90	896	88
91	903	78
92	911	68
93	918	58
94	926	48
95	933	38
96	941	29
97	948	19
98	956	9
99	964	0
